交易 #,类型,信号,日期/时间,价格 USD,当前仓位类型,持有BTC数量,当前总资产USD,当前持有信号,备注
1,进场,tempeture_index,2015-02-15,256.66,现货,3.8962050962362653,1000.0,tempeture_index,换仓→现货 (ratio 1.0)
1,出场,Close entry(s) order tempeture_index,2015-03-17,292.36,空仓,0.0,1139.0945219356345,,换仓→空仓 (ratio 0.0)
2,进场,tempeture_index,2015-04-06,261.49,现货,4.356168579814273,1139.0945219356345,tempeture_index,换仓→现货 (ratio 1.0)
2,出场,Close entry(s) order tempeture_index,2015-04-10,244.46,空仓,0.0,1064.9089710213973,,换仓→空仓 (ratio 0.0)
3,进场,tempeture_index,2015-04-24,235.95,现货,4.513282352283947,1064.9089710213973,tempeture_index,换仓→现货 (ratio 1.0)
3,出场,Close entry(s) order tempeture_index,2015-04-26,227.05,空仓,0.0,1024.7407580860702,,换仓→空仓 (ratio 0.0)
4,进场,tempeture_index,2015-05-01,236.78,现货,4.327818050874526,1024.7407580860702,tempeture_index,换仓→现货 (ratio 1.0)
4,出场,Close entry(s) order tempeture_index,2015-05-06,236.76,空仓,0.0,1024.6542017250526,,换仓→空仓 (ratio 0.0)
5,进场,tempeture_index,2015-05-12,242.74,现货,4.2212004685056135,1024.6542017250526,tempeture_index,换仓→现货 (ratio 1.0)
5,出场,Close entry(s) order tempeture_index,2015-05-14,236.93,空仓,0.0,1000.129027003035,,换仓→空仓 (ratio 0.0)
6,进场,tempeture_index,2015-05-25,240.68,现货,4.155430559261405,1000.129027003035,tempeture_index,换仓→现货 (ratio 1.0)
6,出场,Close entry(s) order tempeture_index,2015-05-30,236.89,空仓,0.0,984.3799451834342,,换仓→空仓 (ratio 0.0)
7,进场,tempeture_index,2015-06-12,229.68,现货,4.285875762728292,984.3799451834341,tempeture_index,换仓→现货 (ratio 1.0)
1,进场,120_ma,2015-06-17,251.88,一倍合约,4.285875762728292,1079.526387116002,"120_ma,tempeture_index",换仓→一倍合约 (ratio 1.0)
7,出场,Close entry(s) order tempeture_index,2015-06-24,244.54,现货,4.1609816540319855,1017.5264536769816,120_ma,换仓→现货 (ratio 1.0)
1,出场,Close entry(s) order 120_ma,2015-06-25,240.14,空仓,0.0,999.218134399241,,换仓→空仓 (ratio 0.0)
2,进场,120_ma,2015-06-28,251.46,现货,3.9736663262516543,999.218134399241,120_ma,换仓→现货 (ratio 1.0)
1,进场,ADX,2015-06-28,251.46,一倍合约,3.9736663262516543,999.218134399241,"120_ma,ADX",换仓→一倍合约 (ratio 1.0)
8,进场,tempeture_index,2015-07-01,263.83,两倍合约,0.8338283519088315,1099.944670420535,"120_ma,ADX,tempeture_index",换仓→两倍合约 (ratio 0.2)
8,出场,Close entry(s) order tempeture_index,2015-07-16,285.7,一倍合约,0.9720675669810079,277.71970388647395,"120_ma,ADX",换仓→一倍合约 (ratio 1.0)
9,进场,tempeture_index,2015-07-27,293.88,两倍合约,0.19997985060159512,293.85039247398385,"120_ma,ADX,tempeture_index",换仓→两倍合约 (ratio 0.2)
9,出场,Close entry(s) order tempeture_index,2015-07-31,288.49,一倍合约,0.19264426196172446,55.575943133337894,"120_ma,ADX",换仓→一倍合约 (ratio 1.0)
1,出场,Close entry(s) order ADX,2015-08-08,280.06,现货,0.18701498147249662,52.37541571118741,120_ma,换仓→现货 (ratio 1.0)
2,进场,ADX,2015-08-09,262.02,一倍合约,0.18701498147249662,49.00166544542356,"120_ma,ADX",换仓→一倍合约 (ratio 1.0)
2,出场,Close entry(s) order 120_ma,2015-08-19,221.99,现货,0.15844384297793881,35.17294870267264,ADX,换仓→现货 (ratio 1.0)
2,出场,Close entry(s) order ADX,2015-08-19,221.99,空仓,0.0,35.17294870267264,,换仓→空仓 (ratio 0.0)
